id,date,time,t0,order_of_test,time_start_battery,order_in_test,word_pool,word,endcoding,recall_session,remember,confidence,correct
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,1,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,2,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,3,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,4,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,5,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,6,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,7,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,8,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,9,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,10,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,11,1,1,0,,0
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,12,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,13,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,14,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,15,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,16,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,17,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,18,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,19,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,20,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,21,1,1,1,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,22,1,1,0,,0
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,23,0,1,0,,1
SI_245,2016-01-28,23:08:23,1454018861719,4,465543,1,7,24,0,1,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,1,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,2,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,3,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,4,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,5,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,6,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,7,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,8,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,9,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,10,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,11,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,12,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,13,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,14,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,15,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,16,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,17,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,18,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,19,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,20,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,21,0,2,0,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,22,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,23,1,2,1,,1
SI_245,2016-01-28,23:09:06,1454018861719,4,508228,2,7,24,1,2,1,,1
