id,date,time,t0,order_of_test,time_start_battery,order_in_test,word_pool,word,endcoding,recall_session,remember,confidence,correct
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,1,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,2,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,3,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,4,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,5,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,6,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,7,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,8,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,9,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,10,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,11,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,12,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,13,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,14,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,15,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,16,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,17,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,18,1,1,1,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,19,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,20,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,21,0,1,0,,1
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,22,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,23,1,1,0,,0
SI_194,2015-11-02,17:02:07,1446479205521,4,1442511,1,2,24,1,1,0,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,1,0,2,0,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,2,0,2,1,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,3,1,2,1,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,4,0,2,0,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,5,0,2,0,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,6,1,2,0,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,7,1,2,1,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,8,1,2,1,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,9,0,2,0,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,10,0,2,1,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,11,1,2,0,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,12,1,2,1,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,13,1,2,0,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,14,1,2,1,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,15,1,2,1,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,16,0,2,0,,1
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,17,0,2,1,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,18,1,2,0,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,19,0,2,1,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,20,0,2,1,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,21,0,2,1,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,22,1,2,0,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,23,0,2,1,,0
SI_194,2015-11-02,17:03:23,1446479205521,4,1517699,2,2,24,1,2,1,,1
